miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-miR-130b-3p	-0.210923916875286	0.0215971623189888	-9.76627918797626	1.59150474762164e-21	BRCA	GRIK2
hsa-miR-96-5p	-0.337786585391677	0.0621410337509957	-5.43580569877895	6.91905570764603e-08	BRCA	GRIK4
hsa-miR-342-3p	-0.171663670749197	0.0247047364966046	-6.94861371109098	6.82680747115817e-12	BRCA	GRIN1
hsa-miR-16-5p	-0.164760166997086	0.0376552322019003	-4.37549199308274	1.34509983743717e-05	BRCA	GRIN1
hsa-miR-103a-3p	-0.260859543359861	0.109600082439079	-2.38010353235692	0.017509545133847	BRCA	GRIN2A
hsa-miR-19b-3p	-0.400364937724925	0.116832094245002	-3.42684037560212	0.000637548283472008	BRCA	GRIN2A
hsa-miR-148a-3p	-0.193471555877638	0.0559607922914441	-3.45726977684727	0.000570534795586192	BRCA	GRIN2A
hsa-miR-125b-5p	-0.163761725716575	0.0744453470837076	-2.19975770322407	0.0280707978799705	BRCA	GRIN2A
hsa-miR-30e-5p	-0.421659104726532	0.109498347232622	-3.850826203164	0.00012582492049609	BRCA	GRIN2A
hsa-miR-429	-0.315046350139695	0.0943544033891959	-3.33896817555172	0.000874487074056794	BRCA	GRIN2A
hsa-miR-24-3p	-0.491673266618437	0.0969673364302751	-5.07050399359971	4.75764566960307e-07	BRCA	HRH1
hsa-miR-29b-3p	-0.193630799857759	0.0630521580897136	-3.07096229096951	0.00219376933286569	BRCA	HTR7
hsa-let-7e-5p	-0.293640009187401	0.113765489799485	-2.58109915146456	0.00999678118528243	BRCA	P2RX1
hsa-miR-29c-3p	-0.590516991474505	0.0492403614745334	-11.992539733485	5.58541464610654e-31	BRCA	P2RX5
hsa-miR-532-3p	-0.179097389603943	0.0141671025263965	-12.6417797337348	5.41152494859384e-34	BRCA	P2RX6
hsa-miR-339-5p	-0.302486603220324	0.0922503228114639	-3.27897609462602	0.00107992476672804	BRCA	P2RY2
hsa-miR-16-5p	-0.407589923763406	0.10543918582451	-3.86563990015806	0.000118381642331069	BRCA	P2RY2
hsa-miR-30b-5p	-0.26327124312767	0.121593296086572	-2.16517893338647	0.0306239088763719	BRCA	P2RY2
hsa-miR-30a-5p	-0.163013272780056	0.0728258900743462	-2.23839725973332	0.0254275960818049	BRCA	P2RY2
hsa-miR-128-3p	-0.157953857711288	0.0677867934614657	-2.33015679965861	0.0205461846402998	CESC	ADORA2B
