ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0023061	signal release	88/1875	484/18870	1.47751076805951e-08	1.20163840036611e-06	9.03170116114574e-07	ANXA1/GABBR1/CHRNA4/PLCB1/ABCC8/KCNB1/SMPD3/BRSK2/RIMS2/F2RL2/GATA3/STX1B/HFE/ASIC1/PRKCE/GPR158/CHRNB2/UNC13A/KCNJ11/HTR1A/TCIRG1/CPLX1/HRH3/ADCY5/AQP1/NRXN1/CPLX2/RAPGEF4/CCL5/CHGA/SPP1/HLA-DRB1/LIF/SYN3/MYOF/HTR2A/SYP/CRHR1/GDNF/GCK/G6PC2/STXBP1/NEUROD1/GLP1R/TSPO/MAOB/SSTR5/GRM4/GPR27/UCP2/VAMP8/SYN1/ALOX5/KMO/ERC2/PDE8B/CADPS/TACR1/HTR2C/RIMS1/LILRB1/SNAP25/PRKCB/SYT4/SOX4/PTPRN/RAB3A/SYT13/SYN2/SYT10/PPFIA2/F2RL1/IL6/CHRNA7/ACVR1C/UNC13C/SNCG/TFAP2B/SV2B/OPRK1/PRKCG/CAMK2A/RPH3A/DOC2A/VSNL1/SYT1/VIP/SLC32A1	88
GO:0042330	taxis	86/1875	470/18870	1.59100399213648e-08	1.27571629961028e-06	9.58848217647858e-07	ANXA1/SEMA4G/TGFB2/HSD3B7/PLP2/VAV3/SWAP70/LOX/SEMA6B/S100A4/EPHB1/HSPB1/SLIT1/DSCAM/PLAU/TNFAIP6/LSP1/RARRES2/CXCR3/TNFSF14/F3/SAA1/PDGFA/LGALS3/CXCL10/TYMP/PLAUR/CD74/L1CAM/CXCR6/CCL5/CHGA/RAC2/SERPINE1/SLAMF1/TREM1/DPEP1/CXCL9/CXCL11/GDNF/ADGRE2/LGR6/ANGPT1/DPP4/GPNMB/FCER1G/CCR5/CMTM5/BST1/SPN/HGF/ITGA2/F7/NRG3/FOSL1/ITGB2/PDGFD/EPHA2/ITGB3/SPI1/THBS4/TREM2/ALOX5/CCR2/RNASE2/SLAMF8/PDGFRA/KLRK1/LRTM2/ECSCR/SEMA3D/VCAM1/SEMA3A/ANGPT2/F2RL1/IL6/S100A9/FPR1/CCL2/S100A8/FPR3/CCN1/CXCL14/MET/SEMA3E/TBR1	86
GO:0007214	gamma-aminobutyric acid signaling pathway	15/1875	29/18870	1.72806328737707e-08	1.36637004097745e-06	1.02698497999821e-06	GABBR1/GABRB3/SHISA7/GABRA3/HTR1A/GABRG2/GABRD/GABRG1/GPR156/GABBR2/GABRB1/GABRA1/GABRB2/GABRA4/GABRA5	15
GO:0001909	leukocyte mediated cytotoxicity	37/1875	140/18870	1.97055593392733e-08	1.53480160693787e-06	1.15358076533554e-06	KLRC3/HFE/KLRC4/KLRC2/CD2/SH2D1A/HLA-DRA/ULBP3/HLA-DRB1/HLA-B/TREM1/KLRB1/MYD88/MR1/CEACAM1/FCGR3A/SLAMF6/PIK3R6/PRF1/RIPK3/ULBP1/NKG7/MICB/CTSC/IL18/FCGR2B/ICAM1/SCNN1B/TYROBP/SPI1/CD226/HAVCR2/KLRK1/LILRB1/PTPRC/SLAMF7/F2RL1	37
GO:0007215	glutamate receptor signaling pathway	20/1875	50/18870	1.99499945395051e-08	1.53480160693787e-06	1.15358076533554e-06	GRIA2/SLC1A1/PLCB1/CDK5R1/KCNB1/GRID1/GRIA4/SSTR1/GRIK2/GRIN3A/FRRS1L/GRID2/GRIN1/GRIK1/GRM4/GRIA1/GRIN2B/NECAB2/GRM1/GRM5	20
GO:0045071	negative regulation of viral genome replication	21/1875	55/18870	2.35416132969466e-08	1.78696539332689e-06	1.34311099020474e-06	APOBEC3F/PLSCR1/APOBEC3G/APOBEC3D/LTF/BST2/APOBEC3C/HMGA2/ISG20/MX1/IFITM3/CCL5/IFIH1/OAS2/TRIM6/OAS1/ISG15/OASL/BTBD17/RSAD2/APOBEC3B	21
GO:0032944	regulation of mononuclear cell proliferation	53/1875	242/18870	2.51082567691539e-08	1.88080665508938e-06	1.41364354247383e-06	ANXA1/IGFBP2/CLCF1/FOXJ1/VAV3/TNFRSF14/PTPN22/PLA2G2A/PDCD1LG2/LGALS3/CHRNB2/CD3E/CD74/HLA-DPB1/CCL5/RAC2/IL15/ZAP70/HLA-DRB1/IRF1/SLAMF1/IL7/HLA-DPA1/PLA2G5/MYD88/FCGR3A/HLA-DMB/CD40LG/IDO1/LGALS9C/GPNMB/CD6/CD80/RIPK3/IL4I1/BST1/SPN/IL18/SASH3/FCGR2B/TYROBP/CCR2/TACR1/HAVCR2/LILRB1/CD24/PTPRC/LILRB4/CLECL1P/SDC4/VCAM1/IL6/TNFSF13B	53
GO:0033555	multicellular organismal response to stress	28/1875	91/18870	3.02395125055983e-08	2.23576032070612e-06	1.68043223971643e-06	SLC1A1/ASIC4/GRIK2/SCN3A/ASIC1/MAPK8IP2/HTR1A/CRHR1/IDO1/DPP4/TSPO/VWA1/NMUR2/BRINP1/PIRT/THBS4/PDE8B/TACR1/HTR2C/NR2E1/RET/ADCYAP1R1/HCN1/PRKCG/GABRA5/NEUROD2/SCN9A/TAC1	28
GO:0001819	positive regulation of cytokine production	89/1875	499/18870	3.11380609909335e-08	2.27267924642801e-06	1.70818107865243e-06	ANXA1/CD58/CHI3L1/FERMT1/CASP8/RNF135/PLCB1/GSDMD/ABCC8/TNFRSF14/HSPB1/PTPN22/GATA3/GBP5/F3/SAA1/CD2/CASP1/UNC93B1/CLEC5A/CD3E/SULF2/CD74/TICAM2/HLA-DPB1/RBM47/POSTN/SLC11A1/IFIH1/SERPINE1/CGAS/IL15/IRF1/SLAMF1/TWIST1/IRF7/IL7/HLA-DPA1/GATA4/MYD88/OAS2/FCGR3A/SLAMF6/ITK/CD40LG/BATF/IDO1/RUNX1/FCER1G/CD6/TRIM6/CD80/SPON2/CYBA/S100A13/CARD9/C3/SPN/HGF/IL18/TRAF3IP3/OAS1/ISG15/LILRA2/SASH3/SCIMP/LUM/TYROBP/LTB/TLR2/CD226/TREM2/PTGER4/CCR2/CLEC7A/HAVCR2/LY96/KLRK1/MCOLN2/LILRB1/IL1RAP/PTPRC/CLECL1P/RSAD2/TLR8/F2RL1/IL6/H19/SULF1	89
GO:0031644	regulation of nervous system process	33/1875	119/18870	3.20612055631434e-08	2.31043599077184e-06	1.73655963509897e-06	CBLN1/FABP5/CUX2/TMEM100/TNR/SLC8A3/DLGAP1/RIMS2/FGF12/GRIK2/STX1B/SLC8A2/TYMP/DLGAP3/NRXN1/ZNF488/GRIN1/GPR171/SHANK1/CST7/CTSC/ITGA2/CELF4/NETO1/GLRA1/HTR2C/RIMS1/ACP3/GRIN2B/ITGAX/DLGAP2/CHRNA7/GRM1	33
