ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006968	cellular defense response	19/1875	52/18870	2.46941551401261e-07	1.39701635298191e-05	1.05001922487847e-05	KLRC3/LSP1/KLRC2/SH2D1A/TCIRG1/CLEC5A/NCF1/GNLY/CXCL9/ITK/DCDC2/CCR5/PRF1/SPN/FOSL1/TYROBP/CD300C/CCR2/LY96	19
GO:0031341	regulation of cell killing	30/1875	111/18870	2.47845866241302e-07	1.39701635298191e-05	1.05001922487847e-05	KLRC3/HFE/KLRC4/KLRC2/SH2D1A/HLA-DRA/ULBP3/HLA-DRB1/HLA-B/KLRB1/MR1/CEACAM1/SLAMF6/CFH/PIK3R6/PRF1/RIPK3/ULBP1/MICB/FCGR2B/ICAM1/TYROBP/SPI1/CD226/CLEC7A/HAVCR2/KLRK1/LILRB1/PTPRC/F2RL1	30
GO:0009954	proximal/distal pattern formation	15/1875	34/18870	2.55350873079616e-07	1.42520835337476e-05	1.07120877096867e-05	HOXC10/HOXC9/EN1/HOXC11/HOXA9/HOXD10/LRP4/HOXA10/HOXD9/DLL1/GLI1/HOXA11/IRX2/SP8/HES5	15
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	70/1875	380/18870	2.62909271028495e-07	1.45314803880119e-05	1.09220867320474e-05	ANXA1/CLCF1/FOXJ1/SERPING1/C1RL/SWAP70/C1R/GATA3/HFE/UNC93B1/TCIRG1/C1S/CD74/CFI/SLC11A1/ASCL2/HLA-DRA/ULBP3/HLA-DRB1/SLAMF1/IL13RA2/IRF7/GAPT/HLA-B/MYD88/MR1/CEACAM1/FCGR3A/SLAMF6/CD40LG/BATF/C2/FCER1G/IL2RB/MYO1G/CD80/PRF1/RIPK3/ULBP1/IL4I1/CARD9/SOCS3/NCR3LG1/C3/MICB/CTSC/SPN/IL18/SASH3/FCGR2B/ICAM1/CD226/TREM2/CCR2/C1QB/CLEC7A/HAVCR2/LILRB1/C1QA/PTPRC/JAK3/LILRB4/RSAD2/TLR8/C4A/CD8A/EXO1/IL6/C6/TNFSF13B	70
GO:0070663	regulation of leukocyte proliferation	54/1875	267/18870	2.9911420180805e-07	1.63736264508965e-05	1.23066723719608e-05	ANXA1/IGFBP2/CLCF1/FOXJ1/VAV3/TNFRSF14/PTPN22/PLA2G2A/PDCD1LG2/LGALS3/CHRNB2/BST2/CD3E/CD74/HLA-DPB1/CCL5/RAC2/IL15/ZAP70/HLA-DRB1/IRF1/SLAMF1/IL7/HLA-DPA1/PLA2G5/MYD88/FCGR3A/HLA-DMB/CD40LG/IDO1/LGALS9C/GPNMB/CD6/CD80/RIPK3/IL4I1/BST1/SPN/IL18/SASH3/FCGR2B/TYROBP/CCR2/TACR1/HAVCR2/LILRB1/CD24/PTPRC/LILRB4/CLECL1P/SDC4/VCAM1/IL6/TNFSF13B	54
GO:0099003	vesicle-mediated transport in synapse	47/1875	220/18870	3.30732632639508e-07	1.79320083582545e-05	1.34779764579409e-05	DNM3/ATP6V1G2/SNAP91/CDK5R1/OPHN1/BRSK2/RIMS2/STX1B/ABCA13/SH3GL2/UNC13A/CPLX1/CPLX2/RAPGEF4/BSN/SYN3/SYP/STXBP1/SYN1/RAB27B/ITGB3/ERC2/CADPS/SNCB/RIMS1/SNAP25/PRKCB/SYT4/GRIP2/RAB3A/SYN2/ARC/SH3GL3/PPFIA2/SLC17A6/UNC13C/SNCG/CALY/SLC17A8/SV2B/PACSIN1/SLC17A7/PRKCG/RPH3A/DOC2A/SYT1/SLC32A1	47
GO:0045055	regulated exocytosis	48/1875	227/18870	3.43366767211613e-07	1.84413868465633e-05	1.38608332543715e-05	KCNB1/RIMS2/STX1B/KLRC2/UNC13A/CPLX1/CPLX2/RAPGEF4/CHGA/RAC2/IL13RA2/PRAM1/SYP/CEACAM1/FCGR3A/ADGRE2/CDK5R2/STXBP1/S100A13/NKG7/VAMP8/SYN1/FCGR2B/ITGB2/SPI1/MILR1/CCR2/ERC2/CADPS/LAT2/RIMS1/SNAP25/PRKCB/SYT4/RAB3A/SYT13/SCIN/SYN2/SYT10/PPFIA2/F2RL1/UNC13C/SV2B/PRKCG/SYNGR3/RPH3A/DOC2A/SYT1	48
GO:0051965	positive regulation of synapse assembly	21/1875	63/18870	3.53230356731336e-07	1.87938357090794e-05	1.41257393026353e-05	CBLN1/CUX2/SLITRK5/LRRTM3/EPHB1/SLITRK1/LRRTM2/ADGRB3/IL1RAPL1/SRPX2/NRXN1/AMIGO2/GRID2/CBLN2/LRRTM1/ADGRB1/LRTM2/IL1RAP/ST8SIA2/ASIC2/SLITRK4	21
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	30/1875	113/18870	3.78268174252029e-07	1.99396362594148e-05	1.49869408219737e-05	PLCB1/F2RL2/PLCE1/GPR17/GPR65/GPR157/CHGA/LPAR6/HTR2A/CHRM1/GPR27/GPR55/P2RY6/P2RY2/NMUR2/TACR1/HTR2C/PRKCB/P2RY8/F2RL1/FPR1/GRM1/PTGER3/CCKBR/GRM5/FPR3/GNG13/OPRK1/GPR83/VIP	30
GO:0001910	regulation of leukocyte mediated cytotoxicity	27/1875	96/18870	4.09257538940333e-07	2.13752584329112e-05	1.60659767821579e-05	KLRC3/HFE/KLRC4/KLRC2/SH2D1A/HLA-DRA/ULBP3/HLA-DRB1/HLA-B/KLRB1/MR1/CEACAM1/SLAMF6/PIK3R6/RIPK3/ULBP1/MICB/FCGR2B/ICAM1/TYROBP/SPI1/CD226/HAVCR2/KLRK1/LILRB1/PTPRC/F2RL1	27
GO:0007269	neurotransmitter secretion	35/1875	144/18870	4.34428139158758e-07	2.2281075641719e-05	1.67468030884813e-05	ABCC8/RIMS2/STX1B/ASIC1/GPR158/UNC13A/CPLX1/HRH3/NRXN1/CPLX2/SYN3/MYOF/SYP/STXBP1/GRM4/SYN1/KMO/ERC2/CADPS/RIMS1/SNAP25/PRKCB/SYT4/RAB3A/SYN2/PPFIA2/UNC13C/SNCG/SV2B/PRKCG/CAMK2A/RPH3A/DOC2A/SYT1/SLC32A1	35
GO:0099643	signal release from synapse	35/1875	144/18870	4.34428139158758e-07	2.2281075641719e-05	1.67468030884813e-05	ABCC8/RIMS2/STX1B/ASIC1/GPR158/UNC13A/CPLX1/HRH3/NRXN1/CPLX2/SYN3/MYOF/SYP/STXBP1/GRM4/SYN1/KMO/ERC2/CADPS/RIMS1/SNAP25/PRKCB/SYT4/RAB3A/SYN2/PPFIA2/UNC13C/SNCG/SV2B/PRKCG/CAMK2A/RPH3A/DOC2A/SYT1/SLC32A1	35
GO:0050671	positive regulation of lymphocyte proliferation	35/1875	145/18870	5.18640785121642e-07	2.634946931173e-05	1.98046710645913e-05	ANXA1/IGFBP2/CLCF1/VAV3/PTPN22/PDCD1LG2/CHRNB2/CD3E/CD74/HLA-DPB1/CCL5/IL15/ZAP70/SLAMF1/IL7/HLA-DPA1/MYD88/FCGR3A/HLA-DMB/CD40LG/CD6/CD80/BST1/SPN/IL18/SASH3/CCR2/TACR1/HAVCR2/CD24/PTPRC/CLECL1P/VCAM1/IL6/TNFSF13B	35
GO:0032943	mononuclear cell proliferation	60/1875	314/18870	5.23008964030475e-07	2.634946931173e-05	1.98046710645913e-05	ANXA1/MSN/IGFBP2/CLCF1/FOXJ1/VAV3/TNFRSF14/PTPN22/PLA2G2A/TNFSF14/PDCD1LG2/SH2D2A/LGALS3/CHRNB2/CD3E/CD74/HLA-DPB1/SLC11A1/CCL5/ELF4/RAC2/IL15/ZAP70/HLA-DRB1/IRF1/SLAMF1/IL7/GAPT/HLA-DPA1/PLA2G5/MYD88/FCGR3A/HLA-DMB/CD40LG/IDO1/LGALS9C/GPNMB/CD6/CD80/RIPK3/IL4I1/BST1/SPN/IL18/SASH3/FCGR2B/TYROBP/CCR2/TACR1/CD180/HAVCR2/LILRB1/CD24/PTPRC/LILRB4/CLECL1P/SDC4/VCAM1/IL6/TNFSF13B	60
GO:0071805	potassium ion transmembrane transport	46/1875	217/18870	5.55285550552193e-07	2.77301810464354e-05	2.08424354847153e-05	NALCN/AKAP6/KCNIP2/KCNIP3/ABCC8/KCNB1/KCNK3/FLNA/KCNJ9/KCNJ11/SLC9C2/ATP1A3/SLC9A2/AQP1/NPPA/KCNQ5/KCNH1/KCNQ2/KCNMB1/KCNK5/KCNH8/DPP10/KCNN4/TREM2/NETO1/KCNC1/KCNJ12/KCNE4/KCNK12/KCNT1/SNAP25/KCNJ3/CAV1/KCNB2/KCNK4/KCNC2/SLC17A6/RGS7/KCNA4/KCNE5/SLC12A5/KCNH7/HCN1/OPRK1/SLC17A7/KCNV1	46
GO:0007596	blood coagulation	47/1875	224/18870	5.73786635937414e-07	2.84049332034061e-05	2.13495897033006e-05	PDPN/CLIC1/MYL12A/ANXA2/ANXA5/EMILIN1/PLSCR1/SERPING1/VAV3/HSPB1/F2RL2/F11R/PLAU/PLAT/FLNA/EMILIN2/F3/SAA1/PDGFA/SERPINA1/PLAUR/FZD6/LCK/SERPINE1/CEACAM1/DGKI/CD40LG/PROC/STXBP1/FCER1G/DGKB/FAP/FERMT3/DGKK/ITGA2/F7/ITGB3/COL3A1/PDGFRA/ADAMTS18/F5/CAV1/TFPI/F2RL1/IL6/MMRN1/PDIA2	47
GO:0070588	calcium ion transmembrane transport	65/1875	352/18870	6.3748884532281e-07	3.12864137622652e-05	2.3515355319757e-05	MCUB/JPH4/CACNG2/JPH3/ANXA2/ANXA2P2/PLCB1/NALCN/NALF1/STAC/AKAP6/CABP4/CACNA2D2/SLC8A3/TRPM8/SCN3A/FLNA/SLC8A2/ASIC1/PRKCE/CXCL10/PLCE1/GRIN3A/CHRNA9/LCK/CACNA1A/NPPA/HTR2A/CXCL9/CXCL11/CRHR1/GRIN1/SCN1A/CCR5/CYBA/PKD1L1/P2RY6/ITGB3/CABP1/ATP2A3/RYR3/CACNA2D3/CACNA1I/CACNG4/HTR2C/ATP2B3/CACNA1B/MCOLN2/GRIN2B/SCN2A/PTPRC/CACNA2D1/SCN8A/MCOLN3/TRPC3/RAMP3/CACNA1E/CAV1/CHRNA7/ADCYAP1R1/CACNG8/CACNG3/APLNR/SCN9A/RYR2	65
GO:0099504	synaptic vesicle cycle	43/1875	198/18870	6.46738397165517e-07	3.14690743167802e-05	2.36526458342585e-05	DNM3/ATP6V1G2/SNAP91/CDK5R1/OPHN1/BRSK2/RIMS2/STX1B/ABCA13/SH3GL2/UNC13A/CPLX1/CPLX2/RAPGEF4/BSN/SYN3/SYP/STXBP1/SYN1/RAB27B/ERC2/CADPS/SNCB/RIMS1/SNAP25/PRKCB/SYT4/RAB3A/SYN2/SH3GL3/PPFIA2/SLC17A6/UNC13C/SNCG/SLC17A8/SV2B/PACSIN1/SLC17A7/PRKCG/RPH3A/DOC2A/SYT1/SLC32A1	43
GO:0002757	immune response-activating signaling pathway	81/1875	473/18870	7.31705230386035e-07	3.53016769202347e-05	2.65332895764428e-05	RNF135/PLSCR1/VAV3/KLRC3/GBP1/LTF/NMI/PTPN22/ZDHHC12/GATA3/GBP5/KLRC4/LGALS3/PRKCE/KLRC2/BANK1/CASP1/SH2D1A/UNC93B1/TIFA/CD3E/CD3D/ALPK1/UBASH3A/SLC15A3/GFI1/LCK/TICAM2/CD247/HLA-DPB1/COLEC12/IFIH1/CGAS/PAK3/ZAP70/HLA-DRB1/IRF1/IRF7/PRAM1/MYD88/CEACAM1/ITK/FCER1G/MYO1G/CD3G/CD300LF/CD79B/CYBA/SKAP1/MICB/HLA-DQB1/OAS1/LILRA2/KCNN4/FOSL1/SCIMP/FCGR2B/TYROBP/OASL/TLR2/CD226/TREM2/CTSS/CLEC7A/HAVCR2/LAT2/LY96/KLRK1/COLEC11/PRKCB/GBP2/PTPRC/LILRB4/RSAD2/TLR8/CAV1/CD8A/F2RL1/FPR1/FPR3/TESPA1	81
GO:0002237	response to molecule of bacterial origin	67/1875	369/18870	8.08110058564868e-07	3.86602568353764e-05	2.90576504915187e-05	CASP8/CARD16/ABCC8/VIM/SOD2/LOXL1/LTF/PTPN22/GBP5/PDCD1LG2/PRKCE/CXCL10/DUSP10/CASP1/CD96/GFI1/TICAM2/SLC11A1/SERPINE1/MYD88/CXCL9/CXCL11/IDO1/C2/CD6/TRIM6/CCR5/TSPO/MAOB/CD80/SPON2/GBP3/CARD9/CYP1A1/LILRA2/SSC5D/SCIMP/FCGR2B/SPI1/TLR2/TREM2/KMO/PTGER4/CD180/HAVCR2/CYP27B1/LY96/KLRK1/PTGER2/LILRB1/CD24/MMP9/GBP2/VCAM1/MRC1/ADM/PALM3/IL6/ZFP36/S100A9/GJB2/CCL2/ACP5/S100A8/PTGFR/OPRK1/GJB6	67
GO:0032946	positive regulation of mononuclear cell proliferation	35/1875	148/18870	8.71223522398394e-07	4.13322959417838e-05	3.10659966539427e-05	ANXA1/IGFBP2/CLCF1/VAV3/PTPN22/PDCD1LG2/CHRNB2/CD3E/CD74/HLA-DPB1/CCL5/IL15/ZAP70/SLAMF1/IL7/HLA-DPA1/MYD88/FCGR3A/HLA-DMB/CD40LG/CD6/CD80/BST1/SPN/IL18/SASH3/CCR2/TACR1/HAVCR2/CD24/PTPRC/CLECL1P/VCAM1/IL6/TNFSF13B	35
GO:0048168	regulation of neuronal synaptic plasticity	19/1875	56/18870	9.30547460066874e-07	4.37818734724026e-05	3.29071372350748e-05	JPH3/SHISA7/NOG/GRIK2/SLC8A2/SYP/GRIN1/NETO1/RASGRF1/GRIN2B/SYT4/RAB3A/ARC/NEURL1/GRM5/SLC4A10/SHISA6/CAMK2A/SHISA9	19
GO:0001656	metanephros development	26/1875	94/18870	9.4897103429345e-07	4.42827221166608e-05	3.32835828680145e-05	WNT7B/FOXJ1/LAMB2/SOX8/RDH10/OSR2/GATA3/PDGFA/SPRY1/HOXC11/BASP1/AQP1/LIF/GDNF/GREB1L/EYA1/WT1/SLC22A6/PDGFRA/HOXA11/WWTR1/IRX2/CALB1/RET/HES5/TFAP2B	26
GO:0050766	positive regulation of phagocytosis	22/1875	72/18870	1.02090055084187e-06	4.72519254954694e-05	3.55152823206862e-05	TUB/PTX3/IL2RG/SLC11A1/IL15/PLA2G5/C2/FCER1G/IL2RB/CD300LF/CYBA/SIRPG/C3/ITGA2/FCGR2B/TREM2/CLEC7A/COLEC11/PTPRC/C4A/F2RL1/CCL2	22
GO:0002764	immune response-regulating signaling pathway	84/1875	500/18870	1.03086536293219e-06	4.73283589610722e-05	3.55727309025412e-05	RNF135/PLSCR1/VAV3/KLRC3/GBP1/LTF/NMI/PTPN22/ZDHHC12/GATA3/GBP5/KLRC4/LGALS3/PRKCE/KLRC2/BANK1/CASP1/SH2D1A/UNC93B1/TIFA/CD3E/CD3D/ALPK1/UBASH3A/SLC15A3/GFI1/LCK/TICAM2/CD247/HLA-DPB1/COLEC12/IFIH1/CGAS/PAK3/ZAP70/HLA-DRB1/IRF1/IRF7/PRAM1/MYD88/CEACAM1/FCGR3A/ITK/FCER1G/MYO1G/CD3G/CD300LF/CD79B/CYBA/SKAP1/MICB/HLA-DQB1/OAS1/LILRA2/KCNN4/FOSL1/SCIMP/FCGR2B/TYROBP/OASL/TLR2/CD226/TREM2/CTSS/CLEC7A/HAVCR2/LAT2/LY96/KLRK1/LILRB1/COLEC11/CD24/PRKCB/GBP2/PTPRC/LILRB4/RSAD2/TLR8/CAV1/CD8A/F2RL1/FPR1/FPR3/TESPA1	84
GO:0001505	regulation of neurotransmitter levels	41/1875	188/18870	1.04062713987805e-06	4.73943224586061e-05	3.56223100935098e-05	SLC1A6/ABCC8/RIMS2/STX1B/ASIC1/GPR158/UNC13A/CPLX1/HRH3/NRXN1/CPLX2/SYN3/MYOF/SYP/GDNF/STXBP1/GRM4/SYN1/ITGB3/SLC38A1/KMO/ERC2/CADPS/RIMS1/SNAP25/PRKCB/SYT4/RAB3A/SYN2/PPFIA2/UNC13C/SNCG/SLC17A8/SV2B/PRKCG/SYNGR3/CAMK2A/RPH3A/DOC2A/SYT1/SLC32A1	41
GO:0070661	leukocyte proliferation	64/1875	350/18870	1.10221758132242e-06	4.9800989606893e-05	3.74311985637062e-05	ANXA1/MSN/IGFBP2/CLCF1/FOXJ1/VAV3/TNFRSF14/PTPN22/PLA2G2A/TNFSF14/PDCD1LG2/SH2D2A/LGALS3/CHRNB2/BST2/TCIRG1/CD3E/CD74/HLA-DPB1/SLC11A1/CCL5/ELF4/RAC2/IL15/ZAP70/HLA-DRB1/IRF1/SLAMF1/IL7/GAPT/HLA-DPA1/PLA2G5/MYD88/FCGR3A/HLA-DMB/CD40LG/IDO1/LGALS9C/GPNMB/CD6/CD80/RIPK3/IL4I1/BST1/SPN/IL18/SASH3/FCGR2B/TYROBP/TREM2/CCR2/TACR1/CD180/HAVCR2/LILRB1/CD24/PTPRC/LILRB4/CLECL1P/SDC4/VCAM1/F2RL1/IL6/TNFSF13B	64
GO:0050817	coagulation	47/1875	229/18870	1.11279529412022e-06	4.98830205466645e-05	3.74928542942286e-05	PDPN/CLIC1/MYL12A/ANXA2/ANXA5/EMILIN1/PLSCR1/SERPING1/VAV3/HSPB1/F2RL2/F11R/PLAU/PLAT/FLNA/EMILIN2/F3/SAA1/PDGFA/SERPINA1/PLAUR/FZD6/LCK/SERPINE1/CEACAM1/DGKI/CD40LG/PROC/STXBP1/FCER1G/DGKB/FAP/FERMT3/DGKK/ITGA2/F7/ITGB3/COL3A1/PDGFRA/ADAMTS18/F5/CAV1/TFPI/F2RL1/IL6/MMRN1/PDIA2	47
GO:1902105	regulation of leukocyte differentiation	60/1875	321/18870	1.12409702940944e-06	4.99683700972663e-05	3.75570043442802e-05	ANXA1/TNFRSF11B/CASP8/FOXJ1/MMP14/SOCS1/ACTL6B/CD101/LTF/HOXA7/TCF7/TNFAIP6/GATA3/CD2/IL2RG/TOX/DUSP10/TMEM176B/ZNF683/CD74/ASCL2/HLA-DRA/IL15/ZAP70/TMEM176A/HLA-DRB1/IRF1/IRF7/IL7/LIF/HLA-B/HLA-DOA/CEACAM1/PIK3R6/BATF/RUNX1/CD80/IL4I1/GPR55/ROR2/LILRB3/IL18/RHOH/SASH3/FCGR2B/TYROBP/SPI1/TREM2/RUNX3/CCR2/HCLS1/SLAMF8/FGL2/LILRB1/SOX4/PTPRC/JAK3/LILRB4/VNN1/TESPA1	60
GO:0050878	regulation of body fluid levels	66/1875	365/18870	1.13225359960431e-06	4.99683700972663e-05	3.75570043442802e-05	PDPN/CLIC1/MYL12A/ANXA2/ANXA5/EMILIN1/PLSCR1/SERPING1/VAV3/AQP5/HSPB1/F2RL2/F11R/PLAU/PLAT/FLNA/EMILIN2/F3/SAA1/PDGFA/PRKCE/SERPINA1/SOCS2/PLAUR/FZD6/VDR/LCK/AQP1/SERPINE1/ALOX12B/STAT5A/OAS2/CEACAM1/DGKI/CD40LG/PROC/CHRM1/STXBP1/FCER1G/DGKB/CYBA/FAP/VAMP8/FERMT3/DGKK/ITGA2/P2RY2/F7/KCNN4/ITGB3/SCNN1B/COL3A1/PDGFRA/ADAMTS18/F5/CAV1/TFPI/ADM/F2RL1/IL6/MMRN1/PDIA2/NEURL1/APLNR/OPRK1/VIP	66
GO:0002695	negative regulation of leukocyte activation	43/1875	202/18870	1.14132139115753e-06	4.99810975373833e-05	3.75665704862783e-05	ANXA1/FOXJ1/SOCS1/TNFRSF14/PTPN22/TAFA3/HFE/PLA2G2A/PDCD1LG2/LGALS3/BANK1/CD74/TBC1D10C/ASCL2/HLA-DRB1/IRF1/IL13RA2/PLA2G5/CEACAM1/IDO1/LGALS9C/RUNX1/GPNMB/CD300LF/CD80/IL4I1/DAPL1/CST7/SPN/FCGR2B/TYROBP/SPI1/MILR1/RUNX3/CCR2/HAVCR2/FGL2/LRFN5/LILRB1/PTPRC/JAK3/LILRB4/SDC4	43
GO:0045088	regulation of innate immune response	74/1875	425/18870	1.15611700804074e-06	5.02425505860756e-05	3.77630826652117e-05	CASP6/CASP8/RNF135/PLSCR1/SERPING1/KLRC3/LTF/NMI/PTPN22/ZDHHC12/GBP5/KLRC4/PARP9/PRKCE/KLRC2/DUSP10/CASP1/SH2D1A/UNC93B1/CD96/TIFA/ALPK1/SLC15A3/GFI1/TICAM2/RBM47/CCL5/COLEC12/IFIH1/CGAS/NCF1/PAK3/IRF1/IRF7/HLA-B/PLA2G5/KLRB1/MYD88/CEACAM1/SLAMF6/CFH/PIK3R6/NLRC5/TRIM6/CD300LF/CYBA/CARD9/OAS1/ISG15/ZBP1/LILRA2/FOSL1/SCIMP/FCGR2B/TYROBP/SPI1/OASL/TLR2/CD226/TREM2/CTSS/CLEC7A/SLAMF8/HAVCR2/LY96/KLRK1/LILRB1/COLEC11/GBP2/RSAD2/TLR8/CAV1/F2RL1/AURKB	74
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	54/1875	279/18870	1.26684529871511e-06	5.46375021635237e-05	4.10663966449516e-05	DSCAML1/CBLN1/BMP2/TGFB2/CDHR1/NTNG2/LRRC4C/PTPRT/NECTIN1/CELSR3/DSCAM/SLITRK1/CADM2/CDH18/IL1RAPL1/PCDH11X/PCDH15/FGFRL1/CELSR1/CDH20/ITGA5/PCDH7/L1CAM/NEXN/DSG2/CDH22/CRB2/AMIGO2/GRID2/CEACAM1/PCDH20/CDH10/CD6/AJUBA/ITGAL/PCDHA5/ITGB2/ICAM1/PCDHGC4/GATA5/LRFN5/IL1RAP/SELL/CDH9/VCAM1/CNTN4/PCDH11Y/NTNG1/CNTN6/RET/CDH7/PCDHGA1/PCDHGB4/PCDHGA10	54
GO:0007599	hemostasis	47/1875	231/18870	1.43898332665299e-06	6.1594978034853e-05	4.62957437502524e-05	PDPN/CLIC1/MYL12A/ANXA2/ANXA5/EMILIN1/PLSCR1/SERPING1/VAV3/HSPB1/F2RL2/F11R/PLAU/PLAT/FLNA/EMILIN2/F3/SAA1/PDGFA/SERPINA1/PLAUR/FZD6/LCK/SERPINE1/CEACAM1/DGKI/CD40LG/PROC/STXBP1/FCER1G/DGKB/FAP/FERMT3/DGKK/ITGA2/F7/ITGB3/COL3A1/PDGFRA/ADAMTS18/F5/CAV1/TFPI/F2RL1/IL6/MMRN1/PDIA2	47
GO:0072001	renal system development	60/1875	324/18870	1.54363921000956e-06	6.55816270342123e-05	4.9292171160164e-05	BMP2/TGFB2/WNT7B/NOG/IQGAP1/FOXJ1/LAMB2/GFRA1/SOX8/RDH10/OSR2/HOXD11/GATA3/NPNT/PDGFA/SPRY1/HOXC11/PLCE1/COL4A1/SULF2/BASP1/AQP1/LRP4/HOXB7/HS3ST3B1/LIF/GDNF/LGR5/ANGPT1/GREB1L/DLL1/SERPINF1/EYA1/SDC1/WT1/PDGFD/ITGB3/STRA6/SLC22A6/PDGFRA/RGN/CD24/UPK3A/MMP9/SOX4/MME/HOXA11/WWTR1/SDC4/IRX2/FREM2/CENPF/ENPEP/ANGPT2/CRLF1/CALB1/RET/HES5/TFAP2B/SULF1	60
GO:0051932	synaptic transmission, GABAergic	19/1875	58/18870	1.70908852277475e-06	7.20728960011605e-05	5.4171109903153e-05	GABBR1/GABRB3/NALCN/GABRA3/ZDHHC12/PRKCE/GABRG2/SYN3/GABRD/STXBP1/GABRG1/SLC38A1/TACR1/CA2/GABBR2/GABRA1/GABRB2/GABRA4/GABRA5	19
GO:0031295	T cell costimulation	17/1875	48/18870	1.75056714688265e-06	7.32792556411982e-05	5.5077828576455e-05	TNFRSF14/LGALS1/TNFSF14/PDCD1LG2/CD3E/LCK/CD5/ICOS/CD40LG/DPP4/CD80/SPN/KLRK1/CD24/LILRB4/CAV1/TNFSF13B	17
GO:0006820	monoatomic anion transport	38/1875	172/18870	1.82735085065783e-06	7.5935097757628e-05	5.70740008292285e-05	CLIC1/GABRB3/SLC1A1/ABCC3/GLRA3/GABRA3/SLC25A27/BEST4/APOL1/GABRG2/PRKG2/GABRD/TSPO/UCP2/P2RY6/NMUR2/GABRG1/BEST3/SLC22A6/GLRA1/TCAF2/CLIC6/CA2/GABRB1/SLC17A6/ANO3/ANO4/FXYD3/GABRA1/SLC12A5/STC1/GABRB2/GRM5/SLC17A8/GABRA4/SLC4A10/SLC17A7/GABRA5	38
GO:0032496	response to lipopolysaccharide	63/1875	348/18870	1.891356977507e-06	7.80253280648361e-05	5.86450504467275e-05	CASP8/CARD16/ABCC8/VIM/SOD2/LOXL1/LTF/PTPN22/GBP5/PDCD1LG2/PRKCE/CXCL10/DUSP10/CASP1/CD96/GFI1/TICAM2/SLC11A1/SERPINE1/MYD88/CXCL9/CXCL11/IDO1/C2/CD6/TRIM6/CCR5/TSPO/MAOB/CD80/SPON2/GBP3/CYP1A1/LILRA2/SCIMP/SPI1/TLR2/TREM2/KMO/PTGER4/CD180/HAVCR2/CYP27B1/LY96/KLRK1/PTGER2/LILRB1/MMP9/GBP2/VCAM1/MRC1/ADM/PALM3/IL6/ZFP36/S100A9/GJB2/CCL2/ACP5/S100A8/PTGFR/OPRK1/GJB6	63
GO:0070665	positive regulation of leukocyte proliferation	37/1875	166/18870	1.98876821526726e-06	8.14536507159461e-05	6.12218310871746e-05	ANXA1/IGFBP2/CLCF1/VAV3/PTPN22/PDCD1LG2/CHRNB2/BST2/CD3E/CD74/HLA-DPB1/CCL5/RAC2/IL15/ZAP70/SLAMF1/IL7/HLA-DPA1/MYD88/FCGR3A/HLA-DMB/CD40LG/CD6/CD80/BST1/SPN/IL18/SASH3/CCR2/TACR1/HAVCR2/CD24/PTPRC/CLECL1P/VCAM1/IL6/TNFSF13B	37
GO:1901888	regulation of cell junction assembly	44/1875	213/18870	2.01924461650537e-06	8.15780212311429e-05	6.13153099012815e-05	CBLN1/CUX2/RAP2A/SLITRK5/MMP14/NTNG2/LRRTM3/EPHB1/CAMSAP3/NECTIN1/SLIT1/SLITRK1/F11R/LRRTM2/ADGRB3/IL1RAPL1/SRPX2/CHRNB2/LHFPL4/NRXN1/AMIGO2/GRID2/CBLN2/ABI3/SNAI1/LRRTM1/NEGR1/CNTNAP2/EPHA2/TLR2/ADGRB1/S100A10/LRFN5/LRTM2/SNAP25/IL1RAP/ST8SIA2/SDC4/CAV1/HOPX/ASIC2/APLNR/SLITRK4/ICAM5	44
GO:0007162	negative regulation of cell adhesion	58/1875	312/18870	2.02046390191308e-06	8.15780212311429e-05	6.13153099012815e-05	ANXA1/BMP2/FOXJ1/MMP14/SOCS1/SWAP70/TNR/GBP1/TNFRSF14/HOXA7/PTPN22/DSCAM/HFE/PLA2G2A/PDCD1LG2/LGALS3/MUC1/CD74/POSTN/TNC/ASCL2/SERPINE1/HLA-DRB1/IRF1/PLA2G5/COL1A1/CEACAM1/HSPG2/IDO1/LGALS9C/ANGPT1/RUNX1/GPNMB/CD80/IL4I1/DAPL1/SPN/NEXMIF/FCGR2B/ARHGDIG/SPI1/ADAM22/RUNX3/CDSN/HAVCR2/FGL2/ADAMTS18/LILRB1/SPRY4/PTPRC/JAK3/AJAP1/LILRB4/SDC4/ANGPT2/TGFBI/SEMA3E/ADAMDEC1	58
GO:0033273	response to vitamin	24/1875	86/18870	2.06641308299016e-06	8.28457019821335e-05	6.22681184755744e-05	SOD2/MN1/CXCL10/VDR/POSTN/TNC/SPP1/GATA4/COL1A1/KYNU/TSPO/ITGA2/CYP1A1/F7/CYP27B1/LRAT/TYMS/PHEX/FOLR1/PRKCB/STC2/F5/BRIP1/STC1	24
