geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B	DISEASE	Approved.symbol	status
1128	-1.77635337728557	5.21399321250327	-6.00029618272744	2.73801125856814e-08	6.51915240452138e-08	7.96151282872414	BRCA	CHRM1	Down
1128	2.78706194618146	4.28060281385059	3.95061878036267	0.000539002782195567	0.00130404180779697	-1.09324784928609	KICH	CHRM1	Up
1131	-1.18833103194474	6.37462414619614	-2.9148200515049	0.00663665851322839	0.019826414136167	-2.8960378870351	STAD	CHRM3	Down
1131	-1.48746044757991	4.23428192540935	-5.3879064806435	1.36851333967197e-06	3.49584766932415e-06	4.39998594136782	LUAD	CHRM3	Down
1131	1.36210148772173	4.89023949079263	2.61443239324491	0.0121554131814246	0.0236732199649699	-3.78400196535043	HNSC	CHRM3	Up
1131	1.15218262403664	5.4927408244425	2.76624762407389	0.00790784669903603	0.0154876741191061	-3.38068642154845	PRAD	CHRM3	Up
1131	1.58698311233217	5.89377244034518	6.46982276396705	4.45807969981719e-08	1.16565277582209e-07	7.6368931049375	LUSC	CHRM3	Up
1131	-1.03719986094266	3.78642678457197	-5.63128192008058	1.46113738034618e-07	3.26007449133145e-07	6.32138429442413	BRCA	CHRM3	Down
1131	-1.44164278338747	4.12623771490705	-3.41054420885246	0.00214675548617839	0.00442908158070666	-2.43750312246508	KICH	CHRM3	Down
1132	1.1458663319218	2.06580551390676	4.66789966928275	8.24995724935623e-05	0.00024556108781569	0.758289667096506	KICH	CHRM4	Up
1132	-1.78055531676157	2.63821247488273	-4.46364060410682	0.000117705391715421	0.000814574930526495	0.979880753919354	STAD	CHRM4	Down
1134	3.42157583902918	2.55694191653943	5.94218059773873	9.68217727767823e-05	0.00394025088878122	1.69421591277324	ESCA	CHRNA1	Up
1134	2.30867476085858	2.45144398540598	8.01584270735756	5.61943710360799e-09	8.09102884165643e-07	10.6206971177112	STAD	CHRNA1	Up
1134	-1.37563993968709	4.6846932830485	-2.85772995783478	0.00897321180408457	0.0186198646546028	-3.52222918256	COAD	CHRNA1	Down
1134	2.06225850724672	3.23914091660576	9.54240368008169	5.64234058447135e-16	2.75947885341283e-15	25.4756634320816	BRCA	CHRNA1	Up
1135	1.83121994250329	10.5208905961698	4.33511473639702	6.97583049674039e-05	0.000226046280438847	1.08267502486198	PRAD	CHRNA2	Up
1136	2.15817885855052	3.54566016784178	3.2505010743181	0.00428920893210802	0.0121998222147433	-2.77532358878797	UCEC	CHRNA3	Up
1136	-2.30289706788505	6.32858145436398	-6.05997649827864	3.71095572208422e-06	2.52127175669068e-05	4.14855729732997	COAD	CHRNA3	Down
1136	-2.31575554460338	4.59188626948565	-3.04276517514877	0.00513760304376425	0.0160601337679073	-2.5926244470919	STAD	CHRNA3	Down
1138	1.46383155054738	6.81325336507248	5.87268993682614	8.92828485014981e-06	0.000114451245388722	3.53304179514945	BLCA	CHRNA5	Up
1138	1.02434841875074	3.46741278743981	6.07175779847404	6.53379644667435e-08	1.65913798570436e-07	7.33003425360334	KIRC	CHRNA5	Up
1138	1.4852058340798	5.73563296099809	3.28652984370367	0.00724481007376658	0.040776760358635	-2.58316921891028	ESCA	CHRNA5	Up
1138	1.30037010629438	6.2771335291121	5.70923675486698	6.04444094970472e-07	3.30373679313088e-06	5.6967294573026	PRAD	CHRNA5	Up
