name	SFE_1.x	SFE_2.x	type_1.x	type_2.x	int_type.x	support_1.x	support_2.x	freq_1.x	freq_2.x	overlap.x	max_overlap.x	freq_overlap.x	r_overlap.x	r_freq_overlap.x	diff_overlap.x	abs_diff_overlap.x	direction.x	wMI_stat.x	wMI_p.value.x	ME_p.value.x	E.r.wMI_stat.x	MI_diff.x	APC.x	FDR.x	APC_good.x	PartnerA	PartnerB	SFE_1_location	SFE_2_location	SFE_1_location_1	SFE_2_location_1	SFE_1_location_2	SFE_2_location_2	SFE_1_location_2_subloca	SFE_2_location_2_subloca	gene1	gene2	p.value	q.value	expect_freq.x	SFE_1.y	SFE_2.y	type_1.y	type_2.y	int_type.y	support_1.y	support_2.y	freq_1.y	freq_2.y	overlap.y	max_overlap.y	freq_overlap.y	r_overlap.y	r_freq_overlap.y	diff_overlap.y	abs_diff_overlap.y	direction.y	wMI_stat.y	wMI_p.value.y	ME_p.value.y	E.r.wMI_stat.y	MI_diff.y	APC.y	FDR.y	APC_good.y	expect_freq.y
GLRA1_AMP - CDK4_AMP	GLRA1_AMP	CDK4_AMP	AMP	AMP	AMP - AMP	47	164	0.00641813464427147	0.0223951932268196	0	20	0	2.885	0.14425	-2.885	2.885	ME	0.0049459488414457	0.022	0.022	0.00118462945729944	0.00376131938414626	0.00275050090502709	TRUE	TRUE	GLRA1	CDK4	5q33.1	12q14.1	5q33	12q14	5q	12q	33	14	CDK4_AMP	GLRA1_AMP	0.144331295660512	0.208478538176295	0.000143735365514205	GLRA1_AMP	CDK4_AMP	AMP	AMP	AMP - AMP	45	135	0.0118514616802739	0.0355543850408217	0	17	0	2.543	0.149588235294118	-2.543	2.543	ME	0.00981535993464761	0.035	0.035	0.00316018440593074	0.00665517552871686	0.0043030925610586	TRUE	TRUE	0.000421371431877002
GLRA1_AMP - FGFR1_AMP	GLRA1_AMP	FGFR1_AMP	AMP	AMP	AMP - AMP	47	327	0.00641813464427147	0.0446538303973781	0	22	0	3.983	0.181045454545455	-3.983	3.983	ME	0.00465607816607855	0.004	0.004	0.00095304237303856	0.00370303579303999	0.00288074408175463	TRUE	TRUE	GLRA1	FGFR1	5q33.1	8p11.23	5q33	8p11	5q	8p	33	11	FGFR1_AMP	GLRA1_AMP	0.0225967331106431	0.0652794512085244	0.000286594295872835	GLRA1_AMP	FGFR1_AMP	AMP	AMP	AMP - AMP	45	230	0.0118514616802739	0.0605741374769555	0	20	0	3.395	0.16975	-3.395	3.395	ME	0.00810107672747926	0.01	0.01	0.00311327792791657	0.00498779879956268	0.00318871659370297	TRUE	FALSE	0.000717892069123781
GLRA3_DEL - PTEN_DEL	GLRA3_DEL	PTEN_DEL	DEL	DEL	DEL - DEL	111	351	0.0151577222449816	0.0479311757476444	6	87	0.0689655172413793	20.045	0.230402298850575	-14.045	14.045	ME	0.0032504257453902	0.003	0	0.000613280687461193	0.002637145057929	0.00232309838349487	TRUE	FALSE	GLRA3	PTEN	4q34.1	10q23.31	4q34	10q23	4q	10q	34	23	PTEN_DEL	GLRA3_DEL	0.163869905031211	0.228247367722044	0.000726527448858192	GLRA3_DEL	PTEN_DEL	DEL	DEL	DEL - DEL	101	214	0.026599947326837	0.0563602844350803	6	69	0.0869565217391304	15.597	0.22604347826087	-9.597	9.597	ME	0.00493458898589472	0.004	0.003	0.000613915195926962	0.00432067378996775	0.0029561008998396	TRUE	FALSE	0.00149918059729869
GLRA3_DEL - RAD51B_DEL	GLRA3_DEL	RAD51B_DEL	DEL	DEL	DEL - DEL	111	45	0.0151577222449816	0.00614502253174928	0	31	0	3.206	0.10341935483871	-3.206	3.206	ME	0.00403761978186512	0.03	0.029	0.000506377109163236	0.00353124267270188	0.00376106628822716	TRUE	TRUE	GLRA3	RAD51B	4q34.1	14q24.1	4q34	14q24	4q	14q	34	24	RAD51B_DEL	GLRA3_DEL	0.283004711969759	0.306635039289819	9.31445447254092e-05	GLRA3_DEL	RAD51B_DEL	DEL	DEL	DEL - DEL	101	29	0.026599947326837	0.00763760863839874	0	26	0	2.822	0.108538461538462	-2.822	2.822	ME	0.00690675530378104	0.049	0.049	0.000854281002504509	0.00605247430127653	0.00676654906237009	FALSE	TRUE	0.000203159987484401
GRIA2_DEL - ATM_DEL	GRIA2_DEL	ATM_DEL	DEL	DEL	DEL - DEL	59	68	0.00805680731940461	0.00928581182575447	0	27	0	3.019	0.111814814814815	-3.019	3.019	ME	0.00364831486536993	0.024	0.024	0.000612936784232743	0.00303537808113719	0.00234116939923703	TRUE	FALSE	GRIA2	ATM	4q32.1	11q22.3	4q32	11q22	4q	11q	32	22	ATM_DEL	GRIA2_DEL	0.361554628315591	0.381098121738055	7.48139966843525e-05	GRIA2_DEL	ATM_DEL	DEL	DEL	DEL - DEL	53	65	0.0139583882012115	0.0171187779826179	0	25	0	3.092	0.12368	-3.092	3.092	ME	0.00854806858110146	0.03	0.03	0.00163228495478895	0.00691578362631251	0.00502947658478331	TRUE	TRUE	0.000238950548611732
GRIA4_MUT - KRAS_MUT	GRIA4_MUT	KRAS_MUT	MUT	MUT	MUT - MUT	121	580	0.0165232828075925	0.0792025126314352	6	76	0.0789473684210526	14.516	0.191	-8.516	8.516	ME	0.00806377934065511	0.002	0.002	0.00312885598528717	0.00493492335536794	0.00447101694966042	TRUE	TRUE	GRIA4	KRAS	11q22.3	12p12.1	11q22	12p12	11q	12p	22	12	KRAS_MUT	GRIA4_MUT	0.00245239437308944	0.0112521624177045	0.00130868551528112	GRIA4_MUT	KRAS_MUT	MUT	MUT	MUT - MUT	72	280	0.0189623386884382	0.0737424282328154	5	39	0.128205128205128	9.364	0.240102564102564	-4.364	4.364	ME	0.00692541166209643	0.039	0.039	0.0032833482721934	0.00364206338990303	0.00047233199650414	FALSE	FALSE	0.0013983288998585
GRID2_DEL - PTEN_DEL	GRID2_DEL	PTEN_DEL	DEL	DEL	DEL - DEL	58	351	0.00792025126314352	0.0479311757476444	1	45	0.0222222222222222	10.111	0.224688888888889	-9.111	9.111	ME	0.0039414046723239	0	0	0.000402468026024339	0.00353893664629956	0.00233638573816276	TRUE	FALSE	GRID2	PTEN	4q22.1-q22.2	10q23.31	4q22	10q23	4q	10q	22	23	PTEN_DEL	GRID2_DEL	0.0403953565306855	0.088755994630802	0.000379626955259235	GRID2_DEL	PTEN_DEL	DEL	DEL	DEL - DEL	42	214	0.0110613642349223	0.0563602844350803	1	30	0.0333333333333333	6.503	0.216766666666667	-5.503	5.503	ME	0.00476030990018778	0	0	0.000853922274559216	0.00390638762562856	0.00118818015929624	TRUE	FALSE	0.000623421634520246
GRIK2_DEL - ROS1_DEL	GRIK2_DEL	ROS1_DEL	DEL	DEL	DEL - DEL	110	76	0.0150211661887205	0.0103782602758432	63	72	0.875	14.707	0.204263888888889	48.293	48.293	CO	0.16198698141189	0	0	0.00800251601079449	0.153984465401095	0.153637601280347	TRUE	TRUE	GRIK2	ROS1	6q16.3	6q22.1	6q16	6q22	6q	6q	16	22	ROS1_DEL	GRIK2_DEL	9.40358901857508e-14	9.77973257931808e-13	0.000155893572353237	GRIK2_DEL	ROS1_DEL	DEL	DEL	DEL - DEL	101	73	0.026599947326837	0.0192257045035554	62	69	0.898550724637681	17.248	0.249971014492754	44.752	44.752	CO	0.216468588635476	0	0	0.00976107076032773	0.206707517875148	0.205106876084097	TRUE	TRUE	0.000511402727115907
GRIN1_AMP - SMARCA4_AMP	GRIN1_AMP	SMARCA4_AMP	AMP	AMP	AMP - AMP	74	112	0.010105148163321	0.0152942783012427	13	42	0.30952380952381	6.004	0.142952380952381	6.996	6.996	CO	0.00397379595327352	0.002	0.002	0.000427338177894532	0.00354645777537899	0.00409385825964735	TRUE	TRUE	GRIN1	SMARCA4	9q34.3	19p13.2	9q34	19p13	9q	19p	34	13	SMARCA4_AMP	GRIN1_AMP	3.1885989260072e-07	2.36867348789106e-06	0.000154550948285123	GRIN1_AMP	SMARCA4_AMP	AMP	AMP	AMP - AMP	72	103	0.0189623386884382	0.0271266789570714	13	40	0.325	5.952	0.1488	7.048	7.048	CO	0.0027190145397723	0.105	0.001	0.00206312200214209	0.000655892537630209	0.00272772758380642	FALSE	FALSE	0.000514385273876518
GRM2_DEL - KDM6A_DEL	GRM2_DEL	KDM6A_DEL	DEL	DEL	DEL - DEL	46	110	0.00628157858801038	0.0150211661887205	0	26	0	3.765	0.144807692307692	-3.765	3.765	ME	0.00453385161304842	0.021	0.021	0.000668051555995475	0.00386580005705295	0.00254696746638586	TRUE	FALSE	GRM2	KDM6A	3p21.2	Xp11.3	3p21	Xp11	3p	Xp	21	11	KDM6A_DEL	GRM2_DEL	0.278391971062205	0.305839066800732	9.43566358980122e-05	GRM2_DEL	KDM6A_DEL	DEL	DEL	DEL - DEL	46	90	0.0121148274953911	0.0237029233605478	0	25	0	3.712	0.14848	-3.712	3.712	ME	0.00884529575506043	0.017	0.017	0.00204418049818211	0.00680111525687832	0.00421142873055788	TRUE	FALSE	0.000287156827649512
